"Signature","Genes","Threshold","Survival","ZScore_N","ZScore_P","ssGSEA_N","ssGSEA_P","Correlation","Method_Diff","Better_Method","Both_Sig","Either_Sig"
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","66p","OS",245,0.699547,245,0.748343,0.9157,-0.048796,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","66p","DSS",235,0.249078,235,0.196258,0.9157,0.052819,"ssGSEA",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","66p","PFI",245,0.238209,245,0.26242,0.9157,-0.024211,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","75p","OS",245,0.172315,245,0.679821,0.9157,-0.507507,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","75p","DSS",235,0.235901,235,0.719845,0.9157,-0.483944,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","75p","PFI",245,0.360528,245,0.457519,0.9157,-0.096991,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","90p","OS",245,0.160456,245,0.026911,0.9157,0.133545,"ssGSEA",FALSE,TRUE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","90p","DSS",235,0.103246,235,0.178513,0.9157,-0.075267,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","90p","PFI",245,0.969779,245,0.380861,0.9157,0.588918,"ssGSEA",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","25p_75p","OS",122,0.431697,122,0.8883,0.9157,-0.456602,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","25p_75p","DSS",118,0.170781,118,0.475831,0.9157,-0.30505,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","25p_75p","PFI",122,0.259309,122,0.149242,0.9157,0.110067,"ssGSEA",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","33p_66p","OS",164,0.789321,164,0.68006,0.9157,0.109261,"ssGSEA",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","33p_66p","DSS",158,0.202489,158,0.074049,0.9157,0.12844,"ssGSEA",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","33p_66p","PFI",164,0.216885,164,0.210271,0.9157,0.006614,"ssGSEA",FALSE,FALSE
